Profiling Data:
  tot:    296444  exc:      3272  ent:  993 - lex$$match_var_decl
  tot:    141130  exc:      6565  ent:  495 - lex$$match_function_identifier
  tot:     19953  exc:      6197  ent: 1061 - ProgressBar$update
  tot:     50910  exc:     45019  ent:46585 - bool$or
  tot:     11856  exc:       753  ent:  339 - lex$$match_int_literal
  tot:     10966  exc:       668  ent:  317 - lex$$match_float_literal
  tot:      2571  exc:       603  ent:  319 - lex$$match_string_literal
  tot:     13407  exc:      4095  ent:  309 - lex$$match_augassign
  tot:     20309  exc:      6074  ent:  314 - lex$$match_binop
  tot:         4  exc:         3  ent:    2 - ProgressBar$free
  tot:   2183826  exc:    112007  ent:    1 - parse$$parse
  tot:      9743  exc:      2238  ent:    1 - EleList$$from
  tot:       600  exc:       539  ent:  493 - Element$$from_token
  tot:         6  exc:         3  ent:    1 - ProgressBar$$new_reversed
  tot:    495567  exc:    145320  ent:23810 - NodeType$match
  tot:     28852  exc:     25697  ent:24747 - EleList$in_slice
  tot:    104643  exc:     94775  ent:78437 - EleList$get
  tot:       727  exc:       671  ent:  493 - NameExpr$$match
  tot:      9145  exc:      8223  ent: 7186 - Element$t
  tot:       545  exc:       507  ent:  371 - DeclExpr$$match
  tot:       532  exc:       477  ent:  360 - LiteralExpr$$match
  tot:     18824  exc:      5561  ent:  740 - ReturnExpr$$match
  tot:      2109  exc:      1885  ent: 1678 - cstr$__ne__
  tot:       352  exc:       318  ent:  275 - IntrinsicExpr$$match
  tot:       373  exc:       331  ent:  275 - ImportStmt$$match
  tot:     36746  exc:     10667  ent:  600 - SepExpr$$match
  tot:       319  exc:       287  ent:  254 - EleList$has_lookahead
  tot:      1250  exc:      1123  ent:  980 - EleList$get_lookahead
  tot:      2204  exc:      2001  ent: 1543 - Token$is_a
  tot:     42487  exc:      1206  ent:  502 - NodeType$create_node
  tot:      3668  exc:      1102  ent:   89 - SepExpr$$create
  tot:       753  exc:       692  ent:  502 - Element$$from_node
  tot:     38581  exc:      6404  ent:  502 - EleList$set_tail
  tot:      3458  exc:      1374  ent:  493 - Element$free
  tot:      1458  exc:      1324  ent:  986 - Token$free
  tot:     14312  exc:      5167  ent: 1553 - List$del
  tot:      2155  exc:      1952  ent: 1581 - LinkedListNode$free
  tot:      4847  exc:      2022  ent:  555 - List$insert
